family,benchmark_id,platform,tool,version,solver,step_mode,abs_tol,rel_tol,dt_init,dt_max,seed,params_json,scale_param,scale_value,repeat_idx,run_id,start_ts,end_ts,wall_time_s,cpu_time_s,peak_mem_mb,n_steps,n_events,rmse,linf,event_time_err_mean,event_time_err_max,throughput,L_timeavg,status,error_message,host
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-11,1e-09,,,,"{""t_end"": 100000.0, ""rtol"": 1e-09, ""atol"": 1.0000000000000001e-11, ""method"": ""BDF""}",t_end,100000.0,0,py_1758743859,,,0.0392357080017973,0.039236,67.66,499,,7.267216353455588e-07,2.264047629874089e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 1000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,1000.0,0,py_1758743972,,,0.0137103750021196,0.0110069999999999,67.73,499,,3.066860267967019e-07,1.4526048081053844e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 1000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,1000.0,0,py_1758743981,,,0.0142128330007835,0.0116159999999999,68.66,499,,3.066860267967019e-07,1.4526048081053844e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 1000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,1000.0,0,py_1758743991,,,0.0146344999993743,0.01121,67.84,499,,3.066860267967019e-07,1.4526048081053844e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 1000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,1000.0,0,py_1758744000,,,0.0143254169997817,0.0113419999999999,67.61,499,,3.066860267967019e-07,1.4526048081053844e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 1000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,1000.0,0,py_1758744008,,,0.014786791998631,0.011555,67.95,499,,3.066860267967019e-07,1.4526048081053844e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 10000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,10000.0,0,py_1758744016,,,0.0172738750006828,0.014283,67.84,499,,3.988912561040626e-07,1.7096969785468374e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 10000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,10000.0,0,py_1758744024,,,0.0124422910012071,0.012442,67.83,499,,3.988912561040626e-07,1.7096969785468374e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 10000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,10000.0,0,py_1758744031,,,0.012619375000213,0.012615,68.03,499,,3.988912561040626e-07,1.7096969785468374e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 10000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,10000.0,0,py_1758744038,,,0.0124189579983067,0.012418,68.11,499,,3.988912561040626e-07,1.7096969785468374e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 10000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,10000.0,0,py_1758744045,,,0.0124940419991617,0.012494,67.97,499,,3.988912561040626e-07,1.7096969785468374e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758744054,,,0.015668291998736,0.0156619999999999,67.67,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758744062,,,0.0163775420005549,0.016318,68.36,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758744071,,,0.0151999170011549,0.0151999999999999,67.59,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758744078,,,0.0165256669970403,0.015986,68.22,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
ODE,ode_robertson,python,scipy.integrate.solve_ivp,1.16.2,BDF,adaptive,1e-08,1e-06,,,,"{""t_end"": 100000.0, ""rtol"": 1e-06, ""atol"": 1e-08, ""method"": ""BDF""}",t_end,100000.0,0,py_1758744084,,,0.0155670420026581,0.015562,67.64,499,,4.108413483885589e-07,1.4132679649891957e-06,,,,,OK,,macOS-15.7-arm64-arm-64bit-Mach-O
