family,benchmark_id,platform,tool,version,solver,step_mode,abs_tol,rel_tol,dt_init,dt_max,seed,params_json,scale_param,scale_value,repeat_idx,run_id,start_ts,end_ts,wall_time_s,cpu_time_s,peak_mem_mb,n_steps,n_events,rmse,linf,event_time_err_mean,event_time_err_max,throughput,L_timeavg,status,error_message,host
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":100000}",rho,0.9,0,matlab_1758768738,,,0.0140922916666667,0.0600000000000001,537.83,179610,89797,,,,,0.89797,9.40000823397515,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":100000}",rho,0.9,0,matlab_1758768745,,,0.0532199583333333,0.0899999999999999,521.14,179998,89999,,,,,0.89999,8.33612351537806,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":100000}",rho,0.9,0,matlab_1758768751,,,0.0133982916666667,0.0499999999999998,528.77,180005,89985,,,,,0.89985,9.89307063551625,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":100000}",rho,0.9,0,matlab_1758768757,,,0.0140860416666667,0.04,588.33,180172,90085,,,,,0.90085,9.11466909763694,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,6,"{""lambda"":0.9,""mu"":1,""horizon"":300000}",rho,0.9,0,matlab_1758768763,,,0.0265709583333333,0.0699999999999998,500.66,538829,269409,,,,,0.89803,8.51032078018983,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":300000}",rho,0.9,0,matlab_1758768770,,,0.0286069166666667,0.0699999999999998,508.36,539838,269917,,,,,0.899723333333333,9.38581110434438,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":300000}",rho,0.9,0,matlab_1758768776,,,0.0285527916666667,0.0700000000000003,481.52,542133,271059,,,,,0.90353,8.8569896506557,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":300000}",rho,0.9,0,matlab_1758768784,,,0.0874915833333333,0.15,397.08,539326,269660,,,,,0.898866666666667,9.13965558951065,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":300000}",rho,0.9,0,matlab_1758768792,,,0.0602406666666667,0.11,515.5,538836,269418,,,,,0.89806,9.10784902172459,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,6,"{""lambda"":0.9,""mu"":1,""horizon"":1.0E+6}",rho,0.9,0,matlab_1758768799,,,0.108727083333333,0.17,414.52,1800661,900330,,,,,0.90033,8.90870468343927,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,7,"{""lambda"":0.9,""mu"":1,""horizon"":1.0E+6}",rho,0.9,0,matlab_1758768807,,,0.1546175,0.23,480.81,1800717,900354,,,,,0.900354,9.302533890676,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,8,"{""lambda"":0.9,""mu"":1,""horizon"":1.0E+6}",rho,0.9,0,matlab_1758768813,,,0.068061875,0.1,531.81,1801930,900964,,,,,0.900964,8.90549694043512,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,9,"{""lambda"":0.9,""mu"":1,""horizon"":1.0E+6}",rho,0.9,0,matlab_1758768819,,,0.0634415,0.0899999999999999,544.92,1801794,900897,,,,,0.900897,9.15369725400803,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
DES,des_mm1,matlab,plain_des,25.2.0.2998904 (R2025b),event_loop,event,,,,,10,"{""lambda"":0.9,""mu"":1,""horizon"":1.0E+6}",rho,0.9,0,matlab_1758768825,,,0.0686989583333333,0.1,508.94,1797174,898580,,,,,0.89858,8.7302156426644,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
