platform,family,benchmark_id,tool,solver,status,wall_time_s,rmse,linf,n_steps,params_json,peak_mem_mb
matlab,HYBRID,hybrid_bounce,ode45,events,OK,1.02132816666667,0.124173976930951,0.548444462885611,201,"{""t_end"":10,""rtol"":0.001,""atol"":1E-5,""e"":0.9,""h0"":10,""v0"":0}",495.77
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.869370625,0.124173976930951,0.548444462885611,201,"{""t_end"":10,""rtol"":0.001,""atol"":1E-5,""e"":0.9,""h0"":10,""v0"":0}",587.28
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.873231416666667,0.124173976930951,0.548444462885611,201,"{""t_end"":10,""rtol"":0.001,""atol"":1E-5,""e"":0.9,""h0"":10,""v0"":0}",576.95
matlab,HYBRID,hybrid_bounce,ode45,events,OK,1.07066508333333,0.124173976930951,0.548444462885611,201,"{""t_end"":10,""rtol"":0.001,""atol"":1E-5,""e"":0.9,""h0"":10,""v0"":0}",495.66
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.86027325,0.124173976930951,0.548444462885611,201,"{""t_end"":10,""rtol"":0.001,""atol"":1E-5,""e"":0.9,""h0"":10,""v0"":0}",592.92
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.849685333333333,0.124150392276202,0.545785634791397,221,"{""t_end"":10,""rtol"":1E-6,""atol"":1E-8,""e"":0.9,""h0"":10,""v0"":0}",595.7
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.884478166666667,0.124150392276202,0.545785634791397,221,"{""t_end"":10,""rtol"":1E-6,""atol"":1E-8,""e"":0.9,""h0"":10,""v0"":0}",567.72
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.836490166666667,0.124150392276202,0.545785634791397,221,"{""t_end"":10,""rtol"":1E-6,""atol"":1E-8,""e"":0.9,""h0"":10,""v0"":0}",588.92
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.834560125,0.124150392276202,0.545785634791397,221,"{""t_end"":10,""rtol"":1E-6,""atol"":1E-8,""e"":0.9,""h0"":10,""v0"":0}",591.94
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.913788375,0.124150392276202,0.545785634791397,221,"{""t_end"":10,""rtol"":1E-6,""atol"":1E-8,""e"":0.9,""h0"":10,""v0"":0}",525.2
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.882133,0.124158753537801,0.544943671160472,233,"{""t_end"":10,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""e"":0.9,""h0"":10,""v0"":0}",566.38
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.844643916666667,0.124158753537801,0.544943671160472,233,"{""t_end"":10,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""e"":0.9,""h0"":10,""v0"":0}",596.64
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.844411208333333,0.124158753537801,0.544943671160472,233,"{""t_end"":10,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""e"":0.9,""h0"":10,""v0"":0}",573.5
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.845370208333333,0.124158753537801,0.544943671160472,233,"{""t_end"":10,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""e"":0.9,""h0"":10,""v0"":0}",588.28
matlab,HYBRID,hybrid_bounce,ode45,events,OK,0.847523291666667,0.124158753537801,0.544943671160472,233,"{""t_end"":10,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""e"":0.9,""h0"":10,""v0"":0}",600.81
