t,y1,y2,y3
0.0,1.0,0.0,0.0
1e-06,0.9999999600000011,3.999996815354016e-08,3.0738670363497774e-14
1.0127575873546547e-06,0.9999999594896977,4.0510270591476884e-08,3.1768890111388685e-14
1.0256779307444208e-06,0.999999958972884,4.1027083257342874e-08,3.281225297770778e-14
1.0387631065436362e-06,0.999999958449477,4.155048920593973e-08,3.386892663693672e-14
1.0520152176161592e-06,0.9999999579193926,4.208057255164768e-08,3.4939080902678484e-14
1.0654363936533233e-06,0.9999999573825455,4.261741848194373e-08,3.602288775494839e-14
1.0790287915161837e-06,0.9999999568388496,4.316111327109153e-08,3.7120521367811696e-14
1.0927945955821388e-06,0.9999999562882175,4.3711744294006154e-08,3.8232158137374524e-14
1.1067360180959745e-06,0.9999999557305606,4.426940004029588e-08,3.935797671013186e-14
1.1208552995253765e-06,0.9999999551657893,4.483417012848264e-08,4.0498158011676474e-14
1.135154708920999e-06,0.9999999545938131,4.540614532040473e-08,4.1652885275775684e-14
1.149636544281106e-06,0.9999999540145397,4.5985417535802465e-08,4.2822344073817434e-14
1.1643031329208755e-06,0.9999999534278762,4.657207986709026e-08,4.400672234463287e-14
1.179156831846414e-06,0.9999999528337282,4.7166226594317246e-08,4.52062104246994e-14
1.1942000281335324e-06,0.9999999522320003,4.776795320031821e-08,4.642100107872804e-14
1.209435139311377e-06,0.9999999516225959,4.837735638605886e-08,4.7651289530643077e-14
1.2248646137509307e-06,0.999999951005417,4.8994534086175795e-08,4.8897273494954825e-14
1.2404909310584834e-06,0.9999999503803644,4.961958548471531e-08,5.0159153208533795e-14
1.2563166024741214e-06,0.9999999497473375,5.025261103107295e-08,5.1437131462790013e-14
1.272344171275288e-06,0.9999999491062348,5.089371245613588e-08,5.273141363626205e-14
1.288576213185518e-06,0.9999999484569532,5.154299278863224e-08,5.404220772762374e-14
1.3050153367883623e-06,0.9999999477993883,5.220055637168808e-08,5.536972438910993e-14
1.3216641839466038e-06,0.9999999471334344,5.286650887959599e-08,5.671417696036978e-14
1.3385254302268237e-06,0.9999999464589846,5.3540957334797706e-08,5.807578150275191e-14
1.355601785329369e-06,0.9999999457759304,5.422401012508275e-08,5.945475683402575e-14
1.372895993523834e-06,0.9999999450841621,5.4915776856321995e-08,6.10142242734635e-14
1.3904108340900696e-06,0.9999999443835685,5.5616368355728915e-08,6.309443082853999e-14
1.408149121764832e-06,0.9999999436740371,5.63258976660965e-08,6.524696670421447e-14
1.4261137071941298e-06,0.9999999429554538,5.704447881114026e-08,6.747393046376853e-14
1.4443074773913292e-06,0.9999999422277029,5.777222726921232e-08,6.977747763559997e-14
1.46273335620113e-06,0.9999999414906678,5.850925999185905e-08,7.215982221524376e-14
1.4813943047694329e-06,0.99999994074423,5.9255695422614096e-08,7.462323820645907e-14
1.5002933220192168e-06,0.9999999399882693,6.001165351603197e-08,7.717006120239742e-14
1.519433445132485e-06,0.9999999392226645,6.077725575696419e-08,7.980269000788596e-14
1.5388177500383465e-06,0.9999999384472923,6.155262518008087e-08,8.252358830388605e-14
1.5584493519073535e-06,0.9999999376620283,6.23378863896425e-08,8.533528635522271e-14
1.5783314056521166e-06,0.9999999368667463,6.313316557952274e-08,8.824038276269509e-14
1.5984671064343182e-06,0.9999999360613182,6.393859055348724e-08,9.124154626071956e-14
1.6188596901781992e-06,0.9999999352456149,6.475429074573112e-08,9.434151756168091e-14
1.6395124340905768e-06,0.9999999344195053,6.558039724167783e-08,9.754311124819404e-14
1.6604286571875296e-06,0.9999999335828564,6.641704279904463e-08,1.0084921771452191e-13
1.6816117208277713e-06,0.9999999327355339,6.72643618691754e-08,1.0426280515840882e-13
1.7030650292528427e-06,0.9999999318774017,6.812249061864643e-08,1.0778692162463823e-13
1.7247920301341966e-06,0.9999999310083216,6.899156695114751e-08,1.114246971016483e-13
1.7467962151272456e-06,0.9999999301281544,6.98717305296418e-08,1.1517934567257224e-13
1.7690811204325116e-06,0.9999999292367582,7.076312279880952e-08,1.190541677221169e-13
1.7916503273638996e-06,0.99999992833399,7.166588700777662e-08,1.230525522007096e-13
1.8145074629242437e-06,0.9999999274197047,7.258016823313431e-08,1.271779789474009e-13
1.8376562003881725e-06,0.9999999264937552,7.350611340225118e-08,1.3143402107303224e-13
1.861100259892447e-06,0.9999999255559929,7.444387131683329e-08,1.358243989234559e-13
1.8848434090337953e-06,0.999999924606267,7.539359247270497e-08,1.4055897322040288e-13
1.908889463474389e-06,0.9999999236444249,7.635542968127397e-08,1.454510550349544e-13
1.933242287555043e-06,0.999999922670312,7.732953751162678e-08,1.505051472583244e-13
1.957905794916243e-06,0.9999999216837718,7.831607250471416e-08,1.5572587425504194e-13
1.9828839491270713e-06,0.9999999206846457,7.931519319850498e-08,1.6111798505674195e-13
2.0081807643222026e-06,0.9999999196727731,8.032706015346276e-08,1.666863566389275e-13
2.03380030584698e-06,0.9999999186479916,8.13518359783452e-08,1.7243599728282645e-13
2.0597466909107503e-06,0.9999999176101363,8.238968535633426e-08,1.7837205002455685e-13
2.0860240892485047e-06,0.9999999165590404,8.344077507149815e-08,1.844997961938415e-13
2.1126367237910066e-06,0.9999999154945352,8.450527403559275e-08,1.9082465904460123e-13
2.1395888713434217e-06,0.9999999144164493,8.558335331520312e-08,1.9735220747977808e-13
2.166884863272632e-06,0.9999999133246098,8.66751861592322e-08,2.0408815987283713e-13
2.194529086203316e-06,0.999999912218841,8.778094802673998e-08,2.110383879884359e-13
2.222525982722885e-06,0.9999999110989652,8.890081661513702e-08,2.1820892100481692e-13
2.250880052095462e-06,0.9999999099648025,9.003497188873937e-08,2.2560594964056503e-13
2.279595850984919e-06,0.9999999088161706,9.118359610768577e-08,2.3323583038840015e-13
2.308677994187167e-06,0.999999907652885,9.234687385722493e-08,2.4110508985878575e-13
2.3381311553717837e-06,0.9999999064747587,9.35249920773761e-08,2.4922042923617995e-13
2.3679600678330786e-06,0.9999999052816023,9.471814009296711e-08,2.575887288508299e-13
2.398169525250793e-06,0.9999999040732241,9.59265096440576e-08,2.6621705286911075e-13
2.4287643824604506e-06,0.99999990284943,9.715029491674817e-08,2.7511265410544005e-13
2.4597495562335635e-06,0.9999999016100232,9.83896925743837e-08,2.842829789589252e-13
2.491130026067791e-06,0.9999999003548045,9.964490178915455e-08,2.937356724779548e-13
2.522910834987154e-06,0.9999998990835722,1.0091612427409994e-07,3.034785835560261e-13
2.555097090352507e-06,0.9999998977961222,1.022035643155214e-07,3.135197702622169e-13
2.5876939646823028e-06,0.9999998964922473,1.0350742880580789e-07,3.23867505309745e-13
2.6207066964838497e-06,0.9999998951717383,1.0482792691248013e-07,3.348939882555157e-13
2.654140591095176e-06,0.9999998938343826,1.0616527058966482e-07,3.4685819352748596e-13
2.6880010215376073e-06,0.9999998924799656,1.0751967526873209e-07,3.5925022584859925e-13
2.722293429379274e-06,0.9999998911082694,1.0889135859979375e-07,3.7208260963775294e-13
2.7570233256095828e-06,0.9999998897190737,1.1028054100946916e-07,3.8536821054517383e-13
2.7921962915248673e-06,0.9999998883121552,1.1168744573630222e-07,3.991202444649682e-13
2.827817979625344e-06,0.9999998868872878,1.1311229886663023e-07,4.133522867822913e-13
2.8638941145234772e-06,0.9999998854442426,1.1455532937090902e-07,4.2807828186118807e-13
2.9004304938639916e-06,0.9999998839827876,1.1601676914050361e-07,4.433125527793628e-13
2.9374329892555652e-06,0.999999882502688,1.174968530249459e-07,4.590698113162129e-13
2.9749075472144375e-06,0.9999998810037058,1.189958188696686e-07,4.753651682007077e-13
3.012860190120053e-06,0.9999998794856003,1.2051390755422056e-07,4.92214143625815e-13
3.051297017182871e-06,0.9999998779481274,1.220513630309681e-07,5.096326780363519e-13
3.0902242054245783e-06,0.99999987639104,1.2360843236429257e-07,5.276371431973619e-13
3.1296480106707505e-06,0.999999874814088,1.2518536577028524e-07,5.462443535502159e-13
3.1695747685562034e-06,0.9999998732170179,1.2678241665694965e-07,5.654715778639067e-13
3.210010895543175e-06,0.999999871599573,1.2839984166491694e-07,5.853365511891543e-13
3.25096288995246e-06,0.9999998699614935,1.3003790070867874e-07,6.058574871231219e-13
3.292437333007769e-06,0.999999868302516,1.316968570183491e-07,6.270530903928199e-13
3.3344408898933413e-06,0.999999866622374,1.3337697718195577e-07,6.489425697653584e-13
3.376980310825088e-06,0.9999998649207974,1.3507853072527707e-07,6.720082288622851e-13
3.4200624321353946e-06,0.9999998631975128,1.3680179102816193e-07,6.963233263965908e-13
3.4636941773717343e-06,0.9999998614522432,1.3854703535635788e-07,7.215641816394407e-13
3.5078825584093625e-06,0.9999998596847082,1.403145441483634e-07,7.477671457088484e-13
3.5526346765781395e-06,0.9999998578946238,1.4210460141942406e-07,7.749700022051558e-13
3.59795772380376e-06,0.999999856081702,1.4391749480712552e-07,8.032120234852787e-13
3.643858983763548e-06,0.999999854245652,1.4575351561756652e-07,8.32534029139361e-13
3.6903458330569547e-06,0.9999998523861783,1.476129588721179e-07,8.629784467557368e-13
3.737425742391064e-06,0.9999998505029821,1.4949612335477967e-07,8.945893750635628e-13
3.785106277781153e-06,0.9999998485957611,1.5140331166013755e-07,9.274126495457816e-13
3.833395101766597e-06,0.9999998466642084,1.5333483024193088e-07,9.614959106188499e-13
3.882299974642298e-06,0.9999998447080137,1.5529098946223866e-07,9.968886744793411e-13
3.93182875570577e-06,0.9999998427268628,1.5727210364128945e-07,1.0336424067213984e-12
3.981989404520229e-06,0.9999998407204372,1.5927849110790788e-07,1.0718105988331973e-12
4.0327899821937055e-06,0.9999998386884144,1.6131047425059986e-07,1.1114488476845791e-12
4.0842386526745176e-06,0.9999998366304679,1.6336837956928863e-07,1.1526149381225737e-12
4.136343684063278e-06,0.9999998345462671,1.6545253786616918e-07,1.1952316729898668e-12
4.189113449941589e-06,0.9999998324354767,1.6756328396448312e-07,1.2394183380715061e-12
4.242556430717777e-06,0.9999998302977579,1.697009569579487e-07,1.2852968033991783e-12
4.296681214989711e-06,0.9999998281327669,1.7186590032430794e-07,1.3329330032769971e-12
4.351496500925054e-06,0.9999998259401558,1.7405846192151172e-07,1.382395448350525e-12
4.407011097659079e-06,0.9999998237195723,1.7627899404353166e-07,1.433755326146305e-12
4.4632339267103976e-06,0.9999998214706596,1.7852785347688462e-07,1.4870866055278163e-12
4.520174023414663e-06,0.9999998191930561,1.8080540155787219e-07,1.5424661452200286e-12
4.577840538376616e-06,0.9999998168863959,1.831120042305494e-07,1.5999738065609237e-12
4.636242738940635e-06,0.9999998145503083,1.8544803210542957e-07,1.6596925706443115e-12
4.695390010680063e-06,0.9999998121844179,1.8781386051893538e-07,1.7217086600247519e-12
4.755291858905487e-06,0.9999998097883445,1.9020986959360319e-07,1.786111665161918e-12
4.815957910192351e-06,0.9999998073617028,1.926364442990564e-07,1.8529946757888767e-12
4.877397913927969e-06,0.9999998049041031,1.950939745137488e-07,1.9224544173955233e-12
4.939621743878326e-06,0.9999998024151504,1.975828550874948e-07,1.9945913930262574e-12
5.002639399774804e-06,0.9999997998944448,2.0010348590479092e-07,2.069510030598376e-12
5.066461008921268e-06,0.9999997973415808,2.0265627194894577e-07,2.147318835956041e-12
5.131096827821533e-06,0.9999997947561486,2.052416233670196e-07,2.228130551882563e-12
5.1965572438276574e-06,0.9999997921377325,2.0785995553559043e-07,2.312062323302835e-12
5.262852776809252e-06,0.9999997894859117,2.1051168912735462e-07,2.3992358689165053e-12
5.329994080844093e-06,0.9999997868002601,2.1319725017857276e-07,2.4897776595118874e-12
5.397991945930254e-06,0.9999997840803462,2.1591707015736922e-07,2.5838191032202497e-12
5.466857299720181e-06,0.9999997813257326,2.186715860329027e-07,2.681496737980486e-12
5.536601209276792e-06,0.9999997785359769,2.214612403454096e-07,2.782952431494141e-12
5.6072348828520385e-06,0.9999997757106305,2.2428648127713864e-07,2.888333588962191e-12
5.67876967168809e-06,0.9999997728492396,2.2714776272418204e-07,2.99779336890584e-12
5.7512170718416135e-06,0.9999997699513442,2.3004554440918902e-07,3.1114524769641503e-12
5.824588726031214e-06,0.9999997670164787,2.3298029186798797e-07,3.229483094754638e-12
5.898896425508493e-06,0.9999997640441715,2.3595247655588724e-07,3.3520786395411033e-12
5.974152111952978e-06,0.9999997610339447,2.3896257596187017e-07,3.4794168522686567e-12
6.050367879391224e-06,0.9999997579853147,2.420110736618654e-07,3.6116823974213747e-12
6.127555976140354e-06,0.9999997548977917,2.4509845939621905e-07,3.74906713243837e-12
6.205728806776501e-06,0.9999997517708792,2.4822522914815183e-07,3.891770387602288e-12
6.284898934128248e-06,0.9999997486040749,2.513918852232059e-07,4.0399992568065834e-12
6.365079081295578e-06,0.9999997453968698,2.5459893632970013e-07,4.193968899624378e-12
6.446282133694491e-06,0.9999997421487485,2.578468976602008e-07,4.3539028551174965e-12
6.5285211411278475e-06,0.9999997388591891,2.6113629097402887e-07,4.520033367842042e-12
6.611809319882495e-06,0.9999997355276629,2.644676446808061e-07,4.6926017265235865e-12
6.696160054853215e-06,0.9999997321536344,2.678414939250604e-07,4.871858615894381e-12
6.781586901693754e-06,0.9999997287365614,2.7125838067190164e-07,5.058064482203507e-12
6.868103588995307e-06,0.9999997252758949,2.7471885379378034e-07,5.2514899129309625e-12
6.955724020492731e-06,0.9999997217710785,2.7822346915834174e-07,5.452416031257035e-12
7.044462277299037e-06,0.9999997182215492,2.8177278971739484e-07,5.66113490586034e-12
7.1343326201682485e-06,0.9999997146267365,2.8536738559700095e-07,5.877949976639109e-12
7.2253494917872216e-06,0.9999997109860628,2.890078341887036e-07,6.103176496974463e-12
