family,benchmark_id,platform,tool,version,solver,step_mode,abs_tol,rel_tol,dt_init,dt_max,seed,params_json,scale_param,scale_value,repeat_idx,run_id,start_ts,end_ts,wall_time_s,cpu_time_s,peak_mem_mb,n_steps,n_events,rmse,linf,event_time_err_mean,event_time_err_max,throughput,L_timeavg,status,error_message,host
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-05,0.001,,,,"{""t_end"":100000,""rtol"":0.001,""atol"":1E-5,""solver"":""ode15s""}",t_end,100000,0,matlab_1758768958,,,0.1757795,0.19,485.92,499,,0.0001603661160316,0.000429633538072,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-05,0.001,,,,"{""t_end"":100000,""rtol"":0.001,""atol"":1E-5,""solver"":""ode15s""}",t_end,100000,0,matlab_1758768966,,,0.114854666666667,0.23,594.11,499,,0.0001603661160316,0.000429633538072,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-05,0.001,,,,"{""t_end"":100000,""rtol"":0.001,""atol"":1E-5,""solver"":""ode15s""}",t_end,100000,0,matlab_1758768973,,,0.104471083333333,0.2,544.55,499,,0.0001603661160316,0.000429633538072,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-05,0.001,,,,"{""t_end"":100000,""rtol"":0.001,""atol"":1E-5,""solver"":""ode15s""}",t_end,100000,0,matlab_1758768979,,,0.116443916666667,0.2,600.16,499,,0.0001603661160316,0.000429633538072,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-05,0.001,,,,"{""t_end"":100000,""rtol"":0.001,""atol"":1E-5,""solver"":""ode15s""}",t_end,100000,0,matlab_1758768987,,,0.110284333333333,0.2,601.89,499,,0.0001603661160316,0.000429633538072,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-08,1e-06,,,,"{""t_end"":100000,""rtol"":1E-6,""atol"":1E-8,""solver"":""ode15s""}",t_end,100000,0,matlab_1758768994,,,0.115111625,0.26,572.11,499,,2.20502659469388e-06,4.16019231641584e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-08,1e-06,,,,"{""t_end"":100000,""rtol"":1E-6,""atol"":1E-8,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769001,,,0.112632416666667,0.25,594.25,499,,2.20502659469388e-06,4.16019231641584e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-08,1e-06,,,,"{""t_end"":100000,""rtol"":1E-6,""atol"":1E-8,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769008,,,0.113279708333333,0.25,598.5,499,,2.20502659469388e-06,4.16019231641584e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-08,1e-06,,,,"{""t_end"":100000,""rtol"":1E-6,""atol"":1E-8,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769015,,,0.116430541666667,0.24,572.89,499,,2.20502659469388e-06,4.16019231641584e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-08,1e-06,,,,"{""t_end"":100000,""rtol"":1E-6,""atol"":1E-8,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769022,,,0.113566041666667,0.24,565.03,499,,2.20502659469388e-06,4.16019231641584e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-11,1e-09,,,,"{""t_end"":100000,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769031,,,0.176995083333333,0.34,602.5,499,,1.25901563159018e-06,2.26433289712835e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-11,1e-09,,,,"{""t_end"":100000,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769040,,,0.207079916666667,0.37,474.41,499,,1.25901563159018e-06,2.26433289712835e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-11,1e-09,,,,"{""t_end"":100000,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769050,,,0.143352625,0.3,603.05,499,,1.25901563159018e-06,2.26433289712835e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-11,1e-09,,,,"{""t_end"":100000,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769058,,,0.129199666666667,0.31,516.66,499,,1.25901563159018e-06,2.26433289712835e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-11,1e-09,,,,"{""t_end"":100000,""rtol"":1E-9,""atol"":1.0000000000000001E-11,""solver"":""ode15s""}",t_end,100000,0,matlab_1758769065,,,0.139237,0.32,598.53,499,,1.25901563159018e-06,2.26433289712835e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
ODE,ode_robertson,matlab,ode15s,25.2.0.2998904 (R2025b),ode15s,adaptive,1e-08,1e-06,,,,"{""t_end"":1000,""rtol"":1E-6,""atol"":1E-8,""solver"":""ode15s""}",t_end,1000,0,matlab_1758769179,,,0.157336,0.25,547.19,499,,2.04678167422839e-06,4.92874035451507e-06,,,,,OK,,Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Aug 11 21:16:33 PDT 2025; root:xnu-11417.140.69.701.11~1/RELEASE_ARM64_T8122 arm64
